LotFrontage,LotArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,SalePrice
21,1596,1,0,2,1,91000
21,1680,2,1,3,1,112000
21,1869,1,1,2,1,106000
21,1680,1,1,2,1,94500
21,1680,1,1,2,1,89500
21,1680,1,1,2,1,118000
21,1680,1,1,2,1,85400
21,1890,1,0,1,1,81000
21,1526,1,0,1,1,86000
21,1890,1,1,3,1,113000
21,1491,1,0,1,1,75500
21,1936,1,0,1,1,84500
21,1680,1,1,3,1,88000
21,1680,1,1,2,1,100000
21,2001,1,1,3,1,75000
21,2217,1,1,3,1,88000
21,1680,1,1,3,1,118000
21,1533,1,1,3,1,97000
21,1477,1,0,1,1,80000
21,1680,1,1,3,1,91500
21,1680,2,1,3,1,119500
21,1953,1,1,2,1,83000
21,1533,1,0,1,1,92000
24,2645,2,1,3,1,172500
24,2522,2,0,3,1,130000
24,2522,2,0,3,1,130000
24,2280,2,1,3,1,148500
24,1920,1,1,2,1,122500
24,2308,2,1,3,1,147000
24,1950,2,1,3,1,151000
24,2289,2,1,3,1,148500
24,2280,2,1,3,1,179400
24,2544,2,1,2,1,147400
24,1300,1,1,2,1,124000
24,2572,2,1,3,1,155000
24,2308,2,1,3,1,155000
24,2522,2,0,3,1,137500
24,2160,2,1,2,1,160000
24,2016,2,1,3,1,106000
24,2280,2,1,3,1,146000
24,2645,2,1,2,1,174000
24,2368,1,1,3,1,125000
30,5232,1,0,2,1,73000
30,3182,2,1,2,1,151000
30,9549,1,1,2,1,270000
30,3180,2,1,2,1,151000
30,3000,2,1,2,1,173733
30,3180,2,1,2,1,144152
32,4500,2,0,2,1,153500
32,10846,1,1,1,1,324000
32,4500,2,0,2,1,164000
32,4500,2,0,2,1,162000
32,3363,2,0,3,1,130000
33,4456,2,0,2,3,113000
34,3230,2,1,2,1,176000
34,5063,2,0,2,1,207500
34,4571,1,0,4,1,98000
34,4058,1,0,1,1,133000
34,3604,2,0,2,1,146000
34,4590,2,0,2,1,209500
34,3230,2,1,3,1,172500
34,5381,2,0,1,1,196000
34,5001,2,0,2,1,230000
34,4060,2,0,2,1,181000
35,4251,2,1,2,1,164700
35,3675,1,0,2,1,148000
35,6300,2,0,3,1,128000
35,9400,2,0,4,0,127500
35,4274,1,1,1,1,199900
35,4017,2,1,2,1,171900
35,3735,2,1,3,1,183900
35,3675,2,0,2,1,140000
35,3675,1,0,2,1,145000
36,2592,1,1,3,1,85000
36,2448,2,1,2,1,154000
36,15523,1,0,3,1,133500
36,4435,1,0,1,1,131500
36,2268,2,0,2,1,173000
36,2628,2,1,2,1,175500
37,7937,1,0,3,1,142500
37,4435,1,0,1,1,155900
37,3316,1,1,1,1,197000
37,6951,1,0,3,1,119500
37,4435,1,0,1,1,136500
38,14963,1,1,1,1,245500
39,5389,2,0,2,1,236500
40,3951,2,1,2,1,164500
40,5400,2,0,3,1,152000
40,13673,1,1,3,1,143900
40,3880,1,0,2,1,110500
40,4400,1,0,2,1,116000
40,4280,1,0,2,1,90350
40,6792,2,0,2,1,202665
40,4671,2,0,2,1,189000
40,4800,1,0,2,1,109900
40,5664,2,0,2,1,278000
40,3636,1,0,2,1,55000
40,5436,1,0,3,1,125500
41,4923,1,1,0,1,286000
41,5330,2,0,2,1,251000
41,5395,2,0,2,1,180000
41,4920,2,0,2,1,213500
41,12393,2,1,4,1,195000
41,2665,2,0,4,1,127000
42,26178,2,1,4,1,335000
42,7711,2,0,4,2,150000
42,3964,2,1,5,1,151400
42,14892,2,0,3,1,377500
43,13568,1,0,3,1,156000
43,3010,2,0,2,1,167240
43,3182,2,0,2,1,192500
43,3182,2,0,2,1,192000
43,10667,2,1,3,1,212000
43,3182,2,0,2,1,160200
43,3182,2,0,2,1,159895
43,3182,2,0,1,1,181000
43,12118,2,0,3,1,240000
43,3013,2,0,2,1,213490
43,3182,2,0,2,1,191000
43,7052,2,0,2,1,185850
44,4224,1,0,3,1,129900
44,6442,2,0,2,1,202500
44,5306,2,0,2,1,239000
44,4750,2,0,2,1,235000
44,4224,1,1,3,1,134000
44,6371,2,0,2,1,224000
44,9548,2,1,3,1,237000
44,13758,2,1,3,1,187500
44,3842,2,0,2,1,275000
45,8248,1,0,2,1,67000
45,8248,1,1,3,1,116000
45,8212,1,0,2,1,58500
46,20544,2,1,3,1,215000
47,16321,1,0,2,1,207500
47,4608,1,0,2,1,80000
47,12416,2,0,3,1,184000
47,53504,3,1,4,1,538000
47,4230,2,0,2,1,208900
48,12822,1,1,1,1,239686
48,17043,2,0,3,1,181000
48,6240,2,0,2,1,254000
48,12137,2,0,3,1,224900
48,6955,2,0,2,1,202500
48,10635,2,0,3,1,232000
49,5820,1,0,3,1,126175
49,8235,1,0,2,1,125000
49,20896,1,1,1,1,423000
49,15256,2,0,3,1,282922
50,7420,1,0,2,2,118000
50,8500,1,0,3,1,40000
50,10300,2,0,3,1,140000
50,8635,1,0,2,1,127000
50,6000,1,0,2,1,115000
50,6060,1,0,3,1,100000
50,7000,2,0,2,1,112000
50,3500,1,1,2,1,110000
50,5500,1,0,3,1,130000
50,8012,2,0,2,1,179200
50,8000,1,0,2,1,132000
50,5000,1,0,2,1,87000
50,7175,1,0,2,1,125000
50,5000,2,0,3,1,127000
50,8405,1,0,4,1,119000
50,6000,1,0,2,1,119000
50,8600,2,0,3,1,119500
50,6000,1,1,2,1,120000
50,5925,1,0,2,1,89471
50,2500,1,1,4,1,155000
50,5784,1,0,2,1,91300
50,5000,2,0,3,1,159000
50,5000,1,0,1,1,39300
50,6000,1,0,3,1,112500
50,9100,1,0,2,1,79500
50,9000,1,1,3,1,141000
50,9000,1,0,3,1,124000
50,6000,2,0,3,2,93000
50,8012,2,0,2,1,143000
50,6000,1,0,2,1,89000
50,8405,2,0,4,1,98000
50,6000,1,0,2,1,107900
50,6130,1,0,2,1,109500
50,5119,2,0,2,1,328900
50,8765,1,0,2,1,106500
50,14859,2,0,3,1,240000
50,9000,0,0,1,1,35311
50,8012,2,0,2,1,193000
50,7207,1,0,2,1,116500
50,5925,1,0,2,1,37900
50,6305,1,0,2,1,119750
50,6000,1,0,2,1,110500
50,7585,1,0,4,1,91500
50,6000,1,0,3,1,128000
50,9405,1,0,2,1,118000
50,9000,1,0,3,1,143000
50,35133,1,1,3,1,186700
50,6000,1,0,3,1,117000
50,9340,1,0,2,1,113000
50,8049,2,0,2,1,180000
50,9638,2,0,4,1,169000
50,6000,1,0,4,1,132500
50,5330,1,0,2,1,82500
50,6000,1,0,2,1,108500
50,5250,2,0,4,1,122000
50,6000,1,0,2,1,134900
50,6000,1,0,3,1,120000
51,6120,2,0,2,2,129900
51,6120,1,0,2,1,132000
51,6120,1,0,2,1,105000
51,10480,1,0,3,1,115000
51,6120,1,0,3,1,133000
51,6120,1,0,1,1,60000
51,6120,1,1,3,1,141500
51,6120,1,0,3,1,88000
51,5900,1,0,2,1,85500
51,4712,1,1,3,1,121600
51,8029,2,1,3,1,176000
51,9842,3,1,4,1,189000
51,6120,1,1,4,1,137500
51,6171,2,1,3,1,137450
51,3635,2,0,1,1,175900
52,6240,1,0,3,1,114500
52,8741,1,1,3,1,113000
52,6240,2,0,3,1,162900
52,6292,2,0,3,1,145000
52,46589,2,1,4,1,402000
52,9022,1,0,2,1,109500
52,6240,1,0,2,1,103000
52,5720,1,1,3,1,66500
52,5825,1,0,1,1,79900
52,9439,1,0,2,1,87000
52,6240,1,0,3,1,149000
52,6240,1,0,2,1,80500
52,6240,1,0,3,1,127500
52,6292,1,0,2,1,91000
53,3922,2,0,2,1,172500
53,10918,1,1,3,1,234000
53,4043,2,0,2,1,140000
53,3922,0,2,2,1,194201
53,3982,2,0,1,1,264561
53,7128,2,0,4,1,164000
53,3684,2,0,2,1,174000
53,5362,2,0,3,1,139000
53,4045,2,0,2,1,246578
53,4043,2,0,2,1,127500
54,7588,1,1,4,1,200100
54,7244,1,0,2,1,129500
54,6629,2,0,3,1,103600
54,13811,2,0,2,1,176000
54,6342,1,0,2,1,94000
54,7681,1,1,3,1,154900
55,7892,2,0,2,1,153900
55,4388,1,0,3,1,87000
55,5500,1,0,1,1,103200
55,5350,1,0,3,1,76500
55,7264,2,1,3,1,205000
55,5687,2,0,6,1,135900
55,10594,1,0,2,1,96500
55,10267,1,0,2,1,130000
55,4500,1,0,3,1,159434
55,8800,1,0,3,1,96500
55,7642,1,1,3,1,189950
55,12640,2,0,4,2,150900
55,7892,2,0,2,1,99500
55,10592,1,1,3,1,165000
55,8250,1,0,3,1,134000
55,8525,1,1,4,1,130000
55,10780,1,0,3,1,132500
56,20431,2,1,4,1,437154
56,8960,1,0,2,1,115000
56,4130,1,0,2,1,52000
56,4060,1,0,2,1,99900
56,14720,2,1,4,1,410000
57,7449,1,0,3,1,139400
57,9906,1,0,3,1,107000
57,8846,1,0,2,1,148000
57,8924,2,1,3,1,188000
57,21872,2,1,3,1,175000
57,6420,1,0,2,1,123500
57,7677,1,0,2,1,110000
57,9245,1,0,3,1,145000
57,9764,1,0,3,1,130000
57,8773,2,1,3,1,169000
57,8280,1,0,2,1,124000
57,7558,1,1,3,1,177000
58,8410,1,0,5,1,81000
58,9098,1,0,2,1,86000
58,17104,2,1,3,1,179665
58,6380,1,0,2,1,113000
58,16770,2,1,4,1,221000
58,10852,2,1,3,1,173000
58,14054,2,1,4,1,219210
59,8198,2,0,2,1,207000
59,9042,2,1,3,1,192000
59,10690,1,0,3,1,147000
59,11228,2,1,3,1,228000
59,7227,1,0,2,1,105500
59,4282,2,0,2,1,196000
59,10593,2,0,3,1,260400
59,16466,1,1,3,1,135500
59,5310,1,0,2,1,117000
59,7837,2,1,3,1,178000
59,8263,1,0,2,1,118400
59,11796,2,1,4,1,215000
59,9587,2,0,2,1,190000
60,9550,1,0,3,1,140000
60,7200,1,0,3,1,134800
60,6324,1,0,1,1,68500
60,7313,2,0,2,1,277500
60,7134,1,0,3,1,130000
60,7200,1,0,2,1,124900
60,7200,1,0,3,1,101000
60,5790,2,0,3,2,107400
60,10440,1,1,2,1,110000
60,8070,1,0,3,1,123600
60,7200,1,0,2,1,109900
60,7200,2,0,4,2,133900
60,10800,1,0,2,1,100000
60,6780,1,0,2,1,84500
60,9600,1,0,2,1,79000
60,7200,1,0,2,1,109500
60,8520,1,0,2,1,100000
60,9060,1,0,3,1,120000
60,10410,2,1,3,1,135000
60,7180,1,0,3,1,127000
60,8400,2,1,4,1,179500
60,7200,2,0,2,1,185000
60,8730,1,0,3,1,153575
60,11409,1,1,3,1,131000
60,9600,1,1,3,1,178000
60,6402,1,0,3,1,78000
60,8400,1,0,2,1,82000
60,9084,1,0,3,1,95000
60,8520,1,0,2,1,105900
60,8400,1,0,2,1,140000
60,8123,2,1,3,1,179000
60,7200,2,0,2,1,187750
60,9000,1,0,2,1,76000
60,10134,1,0,2,1,109000
60,7200,1,0,2,1,123000
60,8967,1,0,2,1,67000
60,10200,1,0,2,1,108000
60,8160,1,1,3,1,126000
60,3378,1,1,3,1,135000
60,5586,1,0,4,1,79900
60,7200,1,0,3,1,155000
60,8281,1,0,3,1,62383
60,8430,2,0,3,1,124000
60,10800,2,0,3,2,160000
60,7879,1,0,2,1,34900
60,9120,2,0,4,1,184000
60,7596,2,0,4,2,124500
60,9600,2,0,3,1,161000
60,10800,2,0,3,2,106250
60,6155,2,0,3,1,128000
60,7200,1,0,2,1,107500
60,11040,1,1,3,1,108000
60,7332,1,0,2,1,120000
60,6600,1,0,2,1,138000
60,3600,1,0,3,1,114504
60,10896,2,0,8,2,200000
60,7200,1,0,3,1,98300
60,9084,1,0,4,1,108000
60,10320,1,0,3,1,135000
60,7200,1,1,3,1,149000
60,9600,2,0,4,2,87000
60,8089,2,0,2,1,392000
60,5400,1,0,2,1,108480
60,9873,1,0,3,1,129000
60,10800,1,1,3,1,159500
60,8172,2,0,4,1,135000
60,6960,1,0,3,1,120500
60,10800,1,1,2,1,163000
60,8544,2,0,2,2,93500
60,10800,3,0,3,1,179000
60,9600,2,0,2,1,132000
60,6911,1,0,2,1,100000
60,8400,2,0,4,2,144000
60,10800,2,0,4,1,139000
60,7200,1,1,3,1,175000
60,6000,1,0,2,1,93000
60,9900,2,0,3,1,139500
60,9600,2,0,2,1,128000
60,10440,2,0,3,1,157500
60,6600,1,0,2,1,109500
60,12144,1,0,3,1,133000
60,7024,1,1,2,1,157000
60,6204,1,0,5,1,118500
60,8064,1,0,3,1,122900
60,7200,1,0,3,1,129000
60,7800,1,0,3,1,119900
60,7200,1,0,2,1,133900
60,10800,1,1,4,1,135000
60,11414,1,0,3,1,167500
60,9786,1,0,3,1,91000
60,5400,1,0,2,1,86000
60,6000,2,0,4,1,102000
60,7200,1,0,2,1,85000
60,11664,1,0,2,1,119200
60,7024,1,1,2,1,176000
60,11100,1,0,2,1,84900
60,9600,1,0,2,1,135000
60,10800,2,0,3,1,170000
60,8544,2,0,2,2,92900
60,8400,2,0,4,1,136500
60,6882,1,1,3,1,127000
60,8400,1,0,1,1,60000
60,10434,1,0,2,1,115000
60,7200,1,0,2,1,140000
60,6180,1,0,2,1,102000
60,7350,1,0,2,1,139000
60,12180,1,0,2,1,80000
60,12900,0,2,0,2,108959
60,10800,1,0,2,1,120000
60,9738,1,0,4,1,104900
60,7500,2,1,3,1,189000
60,9600,1,0,3,1,125000
60,15384,2,1,3,1,184000
60,9600,1,1,3,1,129500
60,7200,1,0,3,1,119000
60,6931,2,1,3,1,165400
60,13515,1,0,3,1,180500
60,10120,1,1,4,2,122000
60,7500,1,0,2,1,68400
60,6600,2,0,4,2,107500
60,8172,1,0,2,1,115000
60,8072,1,0,3,1,138000
60,8190,1,0,3,1,119000
60,6600,1,0,3,1,130500
60,10440,2,0,5,1,256000
60,7200,1,1,2,1,125500
60,10998,2,0,3,1,117000
60,7200,1,1,4,1,157000
60,9060,1,0,2,1,105000
60,8520,2,0,5,1,136000
60,6000,1,0,3,1,131000
60,10800,2,0,3,2,163000
60,7200,1,1,3,1,138000
60,10410,1,0,3,1,105000
60,7740,1,0,3,1,125500
60,7200,2,0,2,2,90000
60,11340,2,0,4,2,122500
60,10930,1,1,3,1,140000
60,7200,1,0,2,1,119000
60,21930,2,1,4,1,192140
60,10800,2,0,4,1,64500
60,9000,1,0,3,1,120500
60,9000,2,2,4,2,136000
61,7658,2,0,2,1,319900
61,7259,2,1,3,1,259500
61,7943,1,0,3,1,118500
61,7577,2,0,2,1,194700
61,7930,1,0,3,1,156000
61,9758,1,0,3,1,119500
61,8800,2,0,3,1,150500
61,10226,2,0,3,1,295493
62,10106,2,0,4,2,127500
62,8244,2,1,3,1,183500
62,70761,2,0,2,1,280000
62,7500,2,0,3,1,176000
62,12677,1,1,1,1,274000
62,9858,1,0,3,1,130000
62,7415,2,1,3,1,193000
62,7500,2,0,2,1,185000
62,7917,2,1,3,1,175000
63,13072,1,1,3,1,158000
63,7500,1,0,3,1,141000
63,17423,2,0,1,1,501837
63,11426,2,1,3,1,200000
63,5000,1,0,3,1,79000
63,8849,2,0,2,1,266000
63,15576,2,0,4,1,177000
63,9297,2,0,4,2,188000
63,13907,1,0,3,1,108000
63,7875,2,0,3,1,176000
63,8199,2,1,3,1,189000
63,7875,2,1,3,1,180000
63,8487,2,0,3,1,190000
63,10712,1,0,3,1,93500
63,13072,1,1,3,1,142500
63,9084,2,1,3,1,176500
63,8500,2,0,3,1,179600
64,7018,2,0,4,2,118964
64,7018,0,2,2,2,153337
64,8791,2,1,3,1,207500
64,7301,3,0,4,1,198500
64,6762,2,0,2,1,195400
64,8320,2,1,3,1,185900
64,6979,0,0,0,2,144000
64,8633,2,1,3,1,173500
64,7314,2,0,2,1,194500
64,7018,2,0,4,2,118858
64,7018,2,0,6,2,142953
64,8712,1,0,2,1,153000
64,6762,2,0,2,1,206000
64,7406,2,0,2,1,194000
64,10475,2,0,3,1,245350
64,5587,2,0,2,1,392500
64,9037,2,0,2,1,265900
64,6762,2,0,2,1,193879
64,13053,1,1,4,1,207000
65,8450,2,1,3,1,208500
65,6040,2,0,2,2,82000
65,8461,2,1,3,1,163990
65,15426,2,1,3,1,231500
65,8450,2,0,3,1,210000
65,8773,2,0,3,1,185500
65,8366,2,1,3,1,173000
65,7800,1,0,3,1,119900
65,6435,1,0,3,1,140200
65,8200,2,1,4,1,219500
65,8125,2,0,2,1,241000
65,8767,2,0,3,1,164990
65,8450,1,0,3,1,142000
65,7800,1,0,3,1,130000
65,25095,1,0,1,1,143000
65,8125,2,1,3,1,205950
65,8125,2,0,3,1,193500
65,8450,1,0,3,1,138500
65,9018,2,1,3,1,179540
65,9313,2,1,3,1,190000
65,6768,1,0,3,1,142000
65,8450,2,0,3,1,179000
65,11700,1,1,4,1,265979
65,12257,2,1,4,1,290000
65,7153,2,1,3,1,175900
65,8529,2,0,3,1,189000
65,8125,2,1,3,1,174000
65,7150,1,0,3,1,100000
65,6993,1,0,3,1,135000
65,10237,2,0,3,1,169990
65,14006,2,1,3,1,192500
65,8450,2,0,3,1,185000
65,10237,2,1,3,1,178900
65,8125,2,1,3,1,197000
65,8385,2,0,3,1,149900
65,8775,1,0,3,1,126000
65,7804,2,0,4,1,135000
65,8850,1,0,3,1,144000
65,10482,1,0,3,1,145000
65,8769,1,1,1,1,367294
65,8158,2,1,3,1,224900
65,8125,2,1,3,1,186500
65,9750,1,1,3,1,151000
65,8944,2,0,4,2,124000
66,13695,1,1,3,1,159000
66,7742,1,0,3,1,127000
66,13682,3,1,3,1,438780
66,8738,2,1,4,1,230000
66,7399,2,1,3,1,239000
66,16226,2,1,4,1,267000
66,12400,1,0,3,1,155000
66,21780,2,0,4,1,185000
66,6858,1,1,4,1,128000
66,8712,1,0,2,1,102776
66,8712,1,0,2,1,55993
66,8923,1,0,2,1,134500
66,7800,1,0,2,1,115000
66,13695,1,0,3,1,155000
66,9042,2,0,4,1,266500
67,5604,1,0,2,1,98000
67,12354,1,0,3,1,110000
67,14948,2,1,3,1,446261
67,8777,2,0,2,1,108000
67,8777,1,0,2,1,85000
67,8877,1,0,2,1,102000
67,16285,2,0,3,1,187100
67,10656,2,0,3,1,248900
67,8777,2,2,4,2,145900
67,10083,2,0,2,1,184900
67,9808,2,0,3,1,227000
67,8877,1,0,2,1,100000
68,11250,2,1,3,1,223500
68,7922,1,0,3,1,109000
68,50271,0,1,0,1,385000
68,9017,2,0,3,1,192000
68,8814,2,1,3,1,220000
68,7820,2,0,2,1,318061
68,9571,1,0,3,1,129000
68,9571,1,0,3,1,60000
68,10769,2,1,3,1,212000
68,9450,1,0,3,1,110000
68,10880,1,0,3,1,125000
68,8846,2,1,3,1,173900
68,8562,1,0,4,1,144500
68,8935,2,1,3,1,195000
68,8930,2,0,4,2,112000
68,8814,2,0,3,1,203000
68,9179,2,1,3,1,193000
68,7838,1,0,3,1,123000
68,9717,1,0,2,1,142125
69,7599,1,0,2,1,129500
69,9337,2,1,3,1,204750
69,7590,1,1,3,1,155000
69,8973,1,1,3,1,150000
69,9142,2,0,4,2,137000
69,9588,2,1,3,1,276000
69,7590,2,0,4,1,169500
69,14850,1,0,2,1,141000
69,11302,2,0,3,1,319000
69,9920,1,1,3,1,128500
69,10205,1,0,3,1,134500
70,11200,1,0,3,1,129500
70,7560,1,0,3,1,139000
70,10552,1,1,4,1,165500
70,7945,1,0,3,1,141000
70,10500,1,0,3,1,115000
70,9100,2,0,6,2,125000
70,10570,2,1,3,1,315000
70,10500,1,0,2,1,97000
70,8521,1,0,3,1,125000
70,8400,1,0,3,1,145000
70,12702,1,0,2,1,97000
70,11207,2,1,3,1,185000
70,9800,1,0,3,1,149900
70,8176,1,0,3,1,139000
70,9135,2,0,3,1,214000
70,8750,2,1,4,1,210000
70,5684,1,0,2,1,110000
70,12243,2,0,3,1,175000
70,7931,1,1,3,1,155000
70,7535,1,0,2,1,120000
70,9170,1,0,2,1,140000
70,9100,1,0,3,1,129900
70,13300,1,0,2,1,132000
70,7000,1,0,3,1,107500
70,8737,1,1,3,1,210000
70,10171,2,0,3,1,214000
70,10500,1,0,3,1,139000
70,8402,1,0,3,1,147000
70,11606,1,2,5,1,135000
70,7700,1,1,4,1,155000
70,8750,2,1,2,1,191000
70,8400,2,0,3,1,213000
70,5600,2,0,3,2,55000
70,8120,1,0,3,1,124500
70,12886,2,0,3,1,175000
70,9100,1,0,2,1,127500
70,9100,2,0,3,1,216837
70,10150,1,0,2,1,114500
70,8400,2,1,3,1,171000
70,11767,1,0,3,1,130500
70,7931,1,0,3,1,132500
70,8750,2,1,3,1,200500
70,8393,2,0,4,2,145000
70,11184,2,1,3,1,172500
70,8414,1,0,3,1,154500
70,8462,2,1,3,1,201000
70,9100,1,0,2,1,117500
70,8163,1,0,3,1,143000
70,7420,1,0,3,1,132000
70,8400,2,1,3,1,227000
70,7700,1,0,3,1,112500
70,8749,2,0,3,1,192000
70,7000,1,0,2,1,135000
70,7560,1,0,3,1,133700
70,9100,2,0,3,1,178000
70,9135,2,0,3,1,200000
70,7763,1,0,3,1,140000
70,11218,2,1,3,1,189000
70,7910,2,0,4,1,127000
70,7728,1,0,3,1,132500
70,9842,2,0,2,2,101800
70,8400,1,1,3,1,138500
70,8400,1,1,3,1,156500
70,4270,1,0,3,1,79000
70,8294,1,0,3,1,123000
70,9247,1,1,4,1,171000
70,9100,2,0,3,1,235000
70,8445,1,0,2,1,133000
70,8400,1,0,3,1,129000
70,11767,1,1,2,1,112000
71,8520,2,0,4,1,166000
71,6900,1,0,2,1,120500
71,7795,2,1,3,1,188500
71,12209,2,1,3,1,215000
71,9187,1,1,3,1,134000
71,7064,1,0,3,1,135000
71,8197,1,1,3,1,143500
71,7056,1,1,4,1,140000
71,9520,2,0,3,1,293077
71,9230,1,1,1,1,146000
71,9353,1,0,3,1,116050
71,9204,1,1,3,1,124000
72,10791,2,0,2,2,90000
72,10665,2,0,3,1,226000
72,10778,2,0,4,2,136500
72,8640,2,1,3,1,252678
72,10011,1,0,2,1,134450
72,11317,2,1,3,1,180000
72,7200,1,0,3,1,125000
72,9000,1,0,2,1,139000
72,11846,2,0,2,1,374000
72,10007,1,1,3,1,145500
72,10463,2,1,3,1,239900
72,8640,2,1,3,1,215200
72,7226,2,1,3,1,183000
72,8640,2,0,3,1,250580
72,10152,1,0,3,1,135000
72,8640,2,0,3,1,229456
72,8872,1,0,2,1,147000
73,10921,1,0,3,1,94750
